method,n,L2,L1,integral,norm_error
Baseline,1,4.508900e-05,3.832954e-05,0.999991,8.761883e-06
Baseline,2,1.815018e-05,1.391166e-05,0.999990,1.013279e-05
Baseline,3,4.618416e-05,3.689252e-05,1.000002,1.668930e-06
Baseline,4,5.681745e-05,4.270604e-05,1.000004,4.410744e-06
Baseline,5,4.847240e-05,3.535350e-05,0.999992,7.867813e-06
Baseline,6,4.148718e-05,3.196515e-05,0.999993,6.675720e-06
Con_Ruido,1,6.680361e-05,5.359545e-05,1.000059,5.877018e-05
Con_Ruido,2,9.696194e-05,8.627700e-05,0.999813,1.870394e-04
Con_Ruido,3,1.650170e-04,1.249475e-04,0.999797,2.025366e-04
Con_Ruido,4,4.301434e-04,3.707830e-04,0.999175,8.251667e-04
Con_Ruido,5,1.466714e-03,1.318452e-03,0.997072,2.928257e-03
Con_Ruido,6,3.309422e-04,2.908174e-04,1.000646,6.461143e-04
Ruido_Kalman,1,3.800630e-05,3.117238e-05,1.000013,1.311302e-05
Ruido_Kalman,2,8.990266e-05,8.111927e-05,0.999829,1.711845e-04
Ruido_Kalman,3,5.297239e-04,4.730144e-04,0.998948,1.051545e-03
Ruido_Kalman,4,1.200464e-03,1.078769e-03,0.997603,2.396584e-03
Ruido_Kalman,5,2.747630e-04,2.207455e-04,1.000491,4.913807e-04
Ruido_Kalman,6,7.791647e-04,6.798784e-04,1.001511,1.511097e-03
