n,ruido,L2_error,L1_error,integral,norm_error
1,0.001,4.6999320522010926e-05,3.855287207648807e-05,1.0000269412994385,2.6941299438476562e-05
1,0.005,2.541891851605255e-05,1.85233857581371e-05,1.0000237226486206,2.372264862060547e-05
1,0.01,0.0002639214164906688,0.00023576452682497182,1.0005229711532593,0.0005229711532592773
1,0.02,0.000678480363331311,0.000602123252520306,0.9986739158630371,0.0013260841369628906
1,0.05,0.0017659832133488159,0.0016046397211579289,0.9964746832847595,0.0035253167152404785
2,0.001,2.499100049061819e-05,1.797494261914319e-05,0.9999819993972778,1.800060272216797e-05
2,0.005,8.799601834119127e-05,7.412794095515551e-05,1.0001680850982666,0.00016808509826660156
2,0.01,0.0012037353188387922,0.0010835163066561038,1.0024091005325317,0.0024091005325317383
2,0.02,0.003004159393915204,0.0027031107057748993,1.006016492843628,0.00601649284362793
2,0.05,0.003219753171266353,0.002827246785692561,1.0063831806182861,0.006383180618286133
3,0.001,3.706655555977447e-05,2.901472123773387e-05,1.0000278949737549,2.7894973754882812e-05
3,0.005,0.0003442408082403047,0.0002953938317438851,1.000657081604004,0.0006570816040039062
3,0.01,0.00048457932412887674,0.0004340343108121569,1.000962495803833,0.0009624958038330078
3,0.02,0.0007012659364769655,0.0006189568137245627,0.9986253380775452,0.001374661922454834
3,0.05,0.015057740788194768,0.01352614801756109,1.0302623510360718,0.030262351036071777
